did,oid
1,2
1,3
1,4
6,7
6,8
6,9
6,10
11,12
13,14
16,17
18,19
18,20
21,22
23,24
23,25
26,27
26,28
26,29
30,31
30,32
33,34
33,35
36,37
36,38
40,41
40,42
40,43
44,45
46,47
49,50
49,51
49,52
49,53
54,55
56,57
58,59
58,60
58,61
62,63
64,65
67,68
69,70
69,71
69,72
74,75
74,76
74,77
78,79
80,81
82,83
82,84
85,86
85,87
88,89
88,90
88,91
88,92
93,94
95,96
95,97
98,99
100,101
100,102
100,103
104,105
104,106
104,107
104,108
110,111
112,113
112,114
115,116
115,117
